feature,n,rho,p_two_sided,rho_ci_low,rho_ci_high
arm_raise_takeoff_to_peak,219,0.39619451090080066,1.200037238651735e-09,0.2743391334581151,0.49903205762978214
knee_ext_takeoff_to_peak,219,0.17773535238594315,0.008383703037627522,0.049655298598059075,0.30213718502446263
takeoff_mid_arm_raise,219,0.4474334542114977,3.536426900555686e-12,0.32339179656512823,0.5486051422080696
peak_arm_raise,219,0.4913066030515093,1.0431144574174744e-14,0.3836246944751504,0.5868489905392013
takeoff_mid_leg_forward,219,-0.38945538593021933,2.405833056205944e-09,-0.5118145656847249,-0.24970016089835262
takeoff_to_peak_frames,219,0.13639714587760812,0.04376075287221151,-0.012447779038264056,0.26058424945555536
