subgroup_col,subgroup_level,n,mae,mae_ci_low,mae_ci_high,rmse,bias,r2,label
bmi_group,under,24,21.176666666666662,15.717170138888893,26.694750000000003,25.997162202682677,3.730833333333333,0.6992031311001373,Underweight
bmi_group,normal,157,17.496900212314223,15.086299363057329,19.99433864118896,23.140030164993327,-0.5372399150743095,0.6469588543642242,Normal BMI
bmi_group,over,38,13.767280701754386,10.530499999999998,17.65571052631579,18.231213217449817,2.640438596491228,0.5021362709964805,Overweight
gender,F,85,17.567725490196082,14.521843137254905,20.845895098039215,23.522183608231327,12.53172549019608,0.4204984914598878,Female
gender,M,134,17.053383084577117,14.782919776119405,19.49464490049751,22.17438531682681,-7.161691542288557,0.5029899547181198,Male
